CylinderConfiguration,Price,PriceType,SimpleAge,SellerType,Make,Model,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating
6,11999,DRIVE_AWAY,28m,Dealer used,BMW,3.0i,Coupe (2 door),2004,148954,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,2.5
6,18990,FIXED,1h,Dealer used,Nissan,DX (4x4),Ute,2000,332013,Manual,4x4,Diesel,Other,FALSE,5,3.5
4,10490,FIXED,5h,Dealer used,Skoda,RS 132 TSI,Hatchback,2012,100366,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,,4.5
4,8790,FIXED,5h,Dealer used,Subaru,R (AWD),Sedan,2010,141148,Manual,All Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5
4,8490,DRIVE_AWAY,3h,Dealer used,Holden,5 (4x4),SUV,2012,180407,Automatic,All Wheel Drive,Diesel,Silver,TRUE,5,3
4,20999,DRIVE_AWAY,6h,Dealer used,Toyota,SR (4x4),Ute,2014,266310,Automatic,4x4,Diesel,White,TRUE,5,2.5
6,19990,FIXED,7h,Dealer used,Holden,7 LTZ (AWD),SUV,2015,76381,Automatic,All Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3
6,20990,FIXED,8h,Dealer used,Holden,Calais,Wagon,2014,145445,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3
6,21490,FIXED,7h,Dealer used,Mazda,LUXURY (FWD),SUV,2012,156577,Automatic,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3
6,21490,FIXED,7h,Dealer used,Mazda,LUXURY (FWD),SUV,2012,125957,Automatic,Front Wheel Drive,Petrol - Unleaded,Burgundy,TRUE,4,3
4,21500,FIXED,7h,Dealer used,Hyundai,SE (FWD),SUV,2015,88692,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5
5,10999,FIXED,19h,Dealer used,Volvo,D5,SUV,2011,185083,Automatic,All Wheel Drive,Diesel,White,TRUE,5,2.5
4,9950,FIXED,5h,Dealer used,Nissan,ST-R (4x4),Ute,2008,263852,Manual,4x4,Diesel,Other,TRUE,5,3.5
4,7499,DRIVE_AWAY,35m,Dealer used,Ford,TITANIUM,Hatchback,2011,214119,Automatic,Front Wheel Drive,Diesel,Silver,TRUE,5,3.5
4,10499,FIXED,5h,Dealer used,Renault,1.5 dCi,Van/Minivan,2012,154352,Manual,Front Wheel Drive,Diesel,White,TRUE,4,3.5
4,7333,DRIVE_AWAY,1h,Dealer used,Subaru,X,SUV,2008,236802,Automatic,All Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4.5
6,19999,DRIVE_AWAY,3h,Dealer used,Toyota,(4x4) 11 SEAT,SUV,1995,401000,Manual,4x4,Diesel,White,TRUE,4,5
6,14990,FIXED,5h,Dealer used,Holden,SV6 Z-SERIES,Sedan,2012,102155,Manual,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4
4,20780,FIXED,7h,Dealer used,Volkswagen,92 TSI,Hatchback,2017,43265,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4.5
6,22600,FIXED,7h,Dealer used,Ford,TITANIUM (RWD),SUV,2013,156790,Automatic,Rear Wheel Drive,Diesel,Silver,TRUE,5,2.5
4,24990,FIXED,7h,Dealer used,Holden,LTZ (4x4),SUV,2013,186083,Automatic,4x4,Diesel,Grey,TRUE,5,3.5
6,34990,FIXED,6h,Dealer used,Toyota,GXL (4x2),SUV,2015,76660,Automatic,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,3.5
8,37990,FIXED,5h,Dealer used,Chrysler,SRT8,Sedan,2014,65916,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,3
4,8999,FIXED,18h,Dealer used,Ford,LX TDCi,Wagon,2012,160035,Automatic,Front Wheel Drive,Diesel,White,TRUE,5,3.5
4,6290,FIXED,18h,Dealer used,Holden,SRi,Coupe (2 door),2008,139618,Manual,Front Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,3.5
4,6499,DRIVE_AWAY,1h,Dealer used,Holden,Barina,Sedan,2011,137910,Automatic,Front Wheel Drive,Petrol - Unleaded,Burgundy,TRUE,4,3.5
4,4999,FIXED,18m,Dealer used,Toyota,SPORTIVO,Sedan,2003,205000,Automatic,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4
6,48480,DRIVE_AWAY,1h,Dealer used,Infiniti,RED SPORT,Coupe (2 door),2017,44640,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3
4,9900,FIXED,5h,Private seller,Alfa Romeo,2.0L,Sedan,1983,19000,Manual,Rear Wheel Drive,Petrol - Leaded,White,FALSE,5,2.5
5,7488,DRIVE_AWAY,17h,Dealer used,Volvo,C70,Convertible,2004,102407,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5
4,4500,FIXED,16h,Dealer used,Subaru,All Others,SUV,2001,177000,Manual,All Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,2.5
