Price,PriceType,SellerType,Make,Model,Variant,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating,CylinderConfigurationParsed
8500,FIXED,Dealer used,Holden,Caprice,All Others,Sedan,2012,243000,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,6
11989,FIXED,Dealer used,Mitsubishi,Triton,GLX (4x4),Ute,2015,243955,Manual,4x4,Diesel,White,TRUE,4,2.5,4
9417,DRIVE_AWAY,Dealer used,Nissan,Patrol,DX (4x4),SUV,2003,199700,Automatic,4x4,Diesel,White,TRUE,5,2.5,4
35888,DRIVE_AWAY,Dealer used,Toyota,SR (4x4),,Ute,2014,66516,Automatic,4x4,Diesel,Silver,FALSE,5,2.5,0
17980,FIXED,Dealer used,Mercedes-Benz,CLS,500,Coupe (2 door),2005,164429,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5,8
19990,DRIVE_AWAY,Dealer used,Honda,VTi-L,,Sedan,2014,71291,Automatic,Front Wheel Drive,Petrol - Unleaded,Red,TRUE,5,3.5,0
12990,FIXED,Dealer used,Toyota,Other,RALLIART,Hatchback,2012,118480,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5,0
24987,DRIVE_AWAY,Dealer used,Honda,HR-V,VTi,SUV,2018,1999,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4.5,4
3500,FIXED,Dealer used,Holden,Commodore,EQUIPE,Sedan,2001,215000,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,6
9999,FIXED,Dealer used,Ford,XL (4x2),,Ute,2010,134000,Manual,Rear Wheel Drive,Diesel,White,TRUE,3,2.5,0
8199,DRIVE_AWAY,Dealer used,Mazda,Mazda6,CLASSIC,Wagon,2008,186403,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Other,TRUE,5,2.5,4
17988,FIXED,Dealer used,Range Rover,SPORT 2.7 TdV6,,SUV,2007,215567,Automatic,4x4,Diesel,Silver,TRUE,5,4,0
9850,DRIVE_AWAY,Dealer used,Kia,Soul,All Others,Hatchback,2012,131064,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4.5,4
21900,FIXED,Dealer new,Mercedes-Benz,Other,,Other,1999,54607,Manual,All Wheel Drive,Diesel,Other,TRUE,5,2.5,0
5990,FIXED,Dealer used,Volvo,S40,1.8,Sedan,2000,194450,Automatic,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,4,4
9900,FIXED,Dealer used,Hino,Other,ASTINA,Other,1992,397924,Manual,Front Wheel Drive,Diesel,Other,TRUE,5,5,0
11999,DRIVE_AWAY,Dealer used,Audi,A3,SPORTBACK 1.6 ATTRACTION,Hatchback,2008,72401,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,2.5,4
